nivel,p4,p34_4,p34_4_1,p3_1,p3_4,lector,edu3,infancia_grupo
3,0,2,0,2,2,0,Básico,Bajo
7,0,1,2,2,2,0,Superior,Bajo
7,2,1,2,1,2,1,Superior,Bajo
3,0,1,2,2,2,0,Básico,Bajo
7,1,2,0,1,1,1,Superior,Bajo
8,2,1,3,1,2,1,Superior,Medio
7,0,1,2,2,2,0,Superior,Bajo
7,2,1,1,1,2,1,Superior,Bajo
6,0,2,0,2,1,0,Medio,Bajo
4,0,1,1,2,2,0,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
7,1,2,0,1,2,1,Superior,Bajo
3,0,2,0,2,2,0,Básico,Bajo
3,0,1,1,2,2,0,Básico,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,1,1,1,1,2,1,Superior,Bajo
2,0,2,0,2,2,0,Básico,Bajo
7,0,1,2,2,2,0,Superior,Bajo
4,0,1,2,2,2,0,Básico,Bajo
8,5,1,2,1,2,1,Superior,Bajo
7,0,1,1,2,2,0,Superior,Bajo
6,0,3,0,2,2,0,Medio,Bajo
7,0,1,1,2,2,0,Superior,Bajo
4,0,1,2,2,2,0,Básico,Bajo
7,3,1,2,1,2,1,Superior,Bajo
3,0,1,1,2,2,0,Básico,Bajo
7,0,1,3,2,2,0,Superior,Medio
7,1,1,3,1,2,1,Superior,Medio
3,2,2,0,1,2,1,Básico,Bajo
7,0,2,0,2,2,0,Superior,Bajo
7,4,1,2,1,2,1,Superior,Bajo
7,0,1,2,2,2,0,Superior,Bajo
4,1,1,1,1,2,1,Básico,Bajo
7,4,2,0,1,2,1,Superior,Bajo
3,3,2,0,1,2,1,Básico,Bajo
3,0,2,0,2,2,0,Básico,Bajo
